,hour,platform_os,no,date_2020-07-03,date_2020-07-04,date_2020-07-05,date_2020-07-06,date_2020-07-07,date_2020-07-08,date_2020-07-09,date_2020-07-10,auction_id,experiment,device_make,browser
900,11,6,0,0,0,0,0,0,0,1,0,900,1,180,3
6433,4,5,0,0,0,1,0,0,0,0,0,6433,0,267,8
7093,10,6,0,0,0,0,0,0,0,0,1,7093,1,46,2
2811,15,6,0,1,0,0,0,0,0,0,0,2811,0,94,6
7529,0,6,0,0,0,0,0,0,0,1,0,7529,0,254,6
2408,7,5,0,0,1,0,0,0,0,0,0,2408,0,267,8
3129,15,6,0,0,0,0,0,0,1,0,0,3129,1,46,2
3256,22,6,0,0,0,1,0,0,0,0,0,3256,1,191,6
5293,9,6,0,0,0,0,0,0,0,0,1,5293,1,164,6
3,15,6,0,1,0,0,0,0,0,0,0,3,0,137,6
3530,13,6,0,0,1,0,0,0,0,0,0,3530,0,46,2
5372,15,6,0,1,0,0,0,0,0,0,0,5372,0,197,14
562,22,6,0,0,0,0,0,1,0,0,0,562,1,119,3
4380,14,6,0,0,0,0,0,0,0,0,1,4380,1,46,2
1609,5,6,0,1,0,0,0,0,0,0,0,1609,1,46,3
7731,5,6,0,0,0,0,0,0,0,0,1,7731,0,123,6
3066,18,6,0,0,0,0,0,0,1,0,0,3066,1,143,3
3587,12,6,0,0,0,0,0,0,0,1,0,3587,1,78,3
1101,1,6,0,0,0,0,0,0,0,0,1,1101,0,149,14
2800,5,6,0,0,0,0,0,0,0,0,1,2800,0,180,2
4841,20,6,0,0,0,0,0,1,0,0,0,4841,1,46,2
7430,8,6,0,0,0,0,1,0,0,0,0,7430,0,46,2
6703,15,6,0,0,0,0,0,0,0,1,0,6703,0,122,14
6596,17,6,0,0,0,0,0,0,0,0,1,6596,0,177,6
449,3,6,0,0,0,1,0,0,0,0,0,449,1,132,3
5084,10,6,0,0,0,0,0,0,0,0,1,5084,0,46,2
1869,17,6,0,0,0,0,0,0,0,0,1,1869,1,46,2
3061,15,6,0,1,0,0,0,0,0,0,0,3061,0,46,2
1512,1,6,0,0,0,1,0,0,0,0,0,1512,0,46,2
1458,0,6,0,0,1,0,0,0,0,0,0,1458,1,46,3
2360,19,6,0,0,1,0,0,0,0,0,0,2360,1,46,2
6208,9,6,0,0,0,0,0,1,0,0,0,6208,0,137,6
6213,21,6,0,0,0,0,0,0,0,1,0,6213,1,77,2
3446,15,6,0,1,0,0,0,0,0,0,0,3446,0,171,14
2369,8,6,0,0,0,0,1,0,0,0,0,2369,1,46,2
4338,16,6,0,0,0,1,0,0,0,0,0,4338,1,46,2
3365,1,6,0,0,1,0,0,0,0,0,0,3365,1,46,2
4717,14,6,0,0,1,0,0,0,0,0,0,4717,0,46,2
